id,name,value
81,row-1,1.5
82,row-2,3.0
83,row-3,4.5
84,row-4,6.0
85,row-5,7.5
86,row-6,9.0
87,row-7,10.5
88,row-8,12.0
89,row-9,13.5
80,row-10,15.0
81,row-11,16.5
82,row-12,18.0
83,row-13,19.5
84,row-14,21.0
85,row-15,22.5
86,row-16,24.0
87,row-17,25.5
88,row-18,27.0
89,row-19,28.5
80,row-20,30.0
81,row-21,31.5
82,row-22,33.0
83,row-23,34.5
84,row-24,36.0
85,row-25,37.5
86,row-26,39.0
87,row-27,40.5
88,row-28,42.0
89,row-29,43.5
80,row-30,45.0
81,row-31,46.5
82,row-32,48.0
83,row-33,49.5
84,row-34,51.0
85,row-35,52.5
86,row-36,54.0
87,row-37,55.5
88,row-38,57.0
89,row-39,58.5
80,row-40,60.0
81,row-41,61.5
82,row-42,63.0
83,row-43,64.5
84,row-44,66.0
85,row-45,67.5
86,row-46,69.0
87,row-47,70.5
88,row-48,72.0
89,row-49,73.5
80,row-50,75.0
81,row-51,76.5
82,row-52,78.0
83,row-53,79.5
84,row-54,81.0
85,row-55,82.5
86,row-56,84.0
87,row-57,85.5
88,row-58,87.0
89,row-59,88.5
80,row-60,90.0
81,row-61,91.5
82,row-62,93.0
83,row-63,94.5
84,row-64,96.0
85,row-65,97.5
86,row-66,99.0
87,row-67,100.5
88,row-68,102.0
89,row-69,103.5
80,row-70,105.0
81,row-71,106.5
82,row-72,108.0
83,row-73,109.5
84,row-74,111.0
85,row-75,112.5
86,row-76,114.0
87,row-77,115.5
88,row-78,117.0
89,row-79,118.5
80,row-80,120.0
81,row-81,121.5
82,row-82,123.0
83,row-83,124.5
84,row-84,126.0
85,row-85,127.5
86,row-86,129.0
87,row-87,130.5
88,row-88,132.0
89,row-89,133.5
80,row-90,135.0
81,row-91,136.5
82,row-92,138.0
83,row-93,139.5
84,row-94,141.0
85,row-95,142.5
86,row-96,144.0
87,row-97,145.5
88,row-98,147.0
89,row-99,148.5
80,row-100,150.0
81,row-101,151.5
82,row-102,153.0
83,row-103,154.5
84,row-104,156.0
85,row-105,157.5
86,row-106,159.0
87,row-107,160.5
88,row-108,162.0
89,row-109,163.5
80,row-110,165.0
81,row-111,166.5
82,row-112,168.0
83,row-113,169.5
84,row-114,171.0
85,row-115,172.5
86,row-116,174.0
87,row-117,175.5
88,row-118,177.0
89,row-119,178.5
80,row-120,180.0
81,row-121,181.5
82,row-122,183.0
83,row-123,184.5
84,row-124,186.0
85,row-125,187.5
86,row-126,189.0
87,row-127,190.5
88,row-128,192.0
89,row-129,193.5
80,row-130,195.0
81,row-131,196.5
82,row-132,198.0
83,row-133,199.5
84,row-134,201.0
85,row-135,202.5
86,row-136,204.0
87,row-137,205.5
88,row-138,207.0
89,row-139,208.5
80,row-140,210.0
81,row-141,211.5
82,row-142,213.0
83,row-143,214.5
84,row-144,216.0
85,row-145,217.5
86,row-146,219.0
87,row-147,220.5
88,row-148,222.0
89,row-149,223.5
80,row-150,225.0
81,row-151,226.5
82,row-152,228.0
83,row-153,229.5
84,row-154,231.0
85,row-155,232.5
86,row-156,234.0
87,row-157,235.5
88,row-158,237.0
89,row-159,238.5
80,row-160,240.0
81,row-161,241.5
82,row-162,243.0
83,row-163,244.5
84,row-164,246.0
85,row-165,247.5
86,row-166,249.0
87,row-167,250.5
88,row-168,252.0
89,row-169,253.5
80,row-170,255.0
81,row-171,256.5
82,row-172,258.0
83,row-173,259.5
84,row-174,261.0
85,row-175,262.5
86,row-176,264.0
87,row-177,265.5
88,row-178,267.0
89,row-179,268.5
80,row-180,270.0
81,row-181,271.5
82,row-182,273.0
83,row-183,274.5
84,row-184,276.0
85,row-185,277.5
86,row-186,279.0
87,row-187,280.5
88,row-188,282.0
89,row-189,283.5
80,row-190,285.0
81,row-191,286.5
82,row-192,288.0
83,row-193,289.5
84,row-194,291.0
85,row-195,292.5
86,row-196,294.0
87,row-197,295.5
88,row-198,297.0
89,row-199,298.5
80,row-200,300.0
81,row-201,301.5
82,row-202,303.0
83,row-203,304.5
84,row-204,306.0
85,row-205,307.5
86,row-206,309.0
87,row-207,310.5
88,row-208,312.0
89,row-209,313.5
80,row-210,315.0
81,row-211,316.5
82,row-212,318.0
83,row-213,319.5
84,row-214,321.0
85,row-215,322.5
86,row-216,324.0
87,row-217,325.5
88,row-218,327.0
89,row-219,328.5
80,row-220,330.0
81,row-221,331.5
82,row-222,333.0
83,row-223,334.5
84,row-224,336.0
85,row-225,337.5
86,row-226,339.0
87,row-227,340.5
88,row-228,342.0
89,row-229,343.5
80,row-230,345.0
81,row-231,346.5
82,row-232,348.0
83,row-233,349.5
84,row-234,351.0
85,row-235,352.5
86,row-236,354.0
87,row-237,355.5
88,row-238,357.0
89,row-239,358.5
80,row-240,360.0
81,row-241,361.5
82,row-242,363.0
83,row-243,364.5
84,row-244,366.0
85,row-245,367.5
86,row-246,369.0
87,row-247,370.5
88,row-248,372.0
89,row-249,373.5
80,row-250,375.0
81,row-251,376.5
82,row-252,378.0
83,row-253,379.5
84,row-254,381.0
85,row-255,382.5
86,row-256,384.0
87,row-257,385.5
88,row-258,387.0
89,row-259,388.5
80,row-260,390.0
81,row-261,391.5
82,row-262,393.0
83,row-263,394.5
84,row-264,396.0
85,row-265,397.5
86,row-266,399.0
87,row-267,400.5
88,row-268,402.0
89,row-269,403.5
80,row-270,405.0
81,row-271,406.5
82,row-272,408.0
83,row-273,409.5
84,row-274,411.0
85,row-275,412.5
86,row-276,414.0
87,row-277,415.5
88,row-278,417.0
89,row-279,418.5
80,row-280,420.0
81,row-281,421.5
82,row-282,423.0
83,row-283,424.5
84,row-284,426.0
85,row-285,427.5
86,row-286,429.0
87,row-287,430.5
88,row-288,432.0
89,row-289,433.5
80,row-290,435.0
81,row-291,436.5
82,row-292,438.0
83,row-293,439.5
84,row-294,441.0
85,row-295,442.5
86,row-296,444.0
87,row-297,445.5
88,row-298,447.0
89,row-299,448.5
80,row-300,450.0
81,row-301,451.5
82,row-302,453.0
83,row-303,454.5
84,row-304,456.0
85,row-305,457.5
86,row-306,459.0
87,row-307,460.5
